Station,Id,Type,Deplyoment time,Lon,Lat,Recovery time,Lon,Lat
4,CTD-ST1,,11:46,6º 0.587',42º 59.533',12:05,6º 0.587',42º 59.533'
5,CTD-ST2,,13:07,6º 0.697',43º 4.913',13:10,6º 0.697',43º 4.913'
6,CTD-ST3,,13:23,5º 59.088',43º4.737',13:29,5º 59.088',43º4.737'
1,273,Yellow 1m,10:28,5º 59.928' ,43º 4.8',14:05,5º 59.994,43º 5.342'
1,9666,White surface,10:28,5º 59.928' ,43º 4.8',14:13,6º 0.194',43º 5.617'
1,6439,White 60cm,10:28,5º 59.928' ,43º 4.8',14:10,5º 59.399',43º 5.403'
2,274,Yellow 1m,10:42,5º 59.072',43º 4.695',13:39,5º 59.423',43º 4.929'
2,436,White surface,10:42,5º 59.072',43º 4.695',13:38,5º 59.282',43º 4.958
2,3368,White 60cm,10:42,5º 59.072',43º 4.695',13:35,5º 59.115',43º 4.993
3,7230,White 60cm,11:06,5º 58.405',43º 4.644',13:56,5º 59.158',43º 4.44'
3,119,White surface,11:06,5º 58.405',43º 4.644',13:57,5º 59.192',43º 4.552'
3,277,Yellow 1m,11:06,5º 58.405',43º 4.644',13:56,5º 59.158',43º 4.44'
4,2052,White 60cm,11:43,6º 0.605',42º 59.533',12:14,-,-